"","x"
"180","1"
"181","1"
"182","1"
"183","1"
"184","1"
"185","0"
"186","1"
"187","1"
"188","1"
"189","0"
"190","1"
"191","0"
"192","2"
"193","2"
"194","1"
"195","0"
"196","0"
"197","0"
"198","1"
"199","0"
"200","1"
"201","0"
"202","0"
"203","1"
"204","1"
"205","1"
"206","0"
"207","0"
"208","2"
"209","1"
"210","1"
"211","1"
"212","0"
"213","0"
"214","1"
"215","0"
"216","0"
"217","1"
"218","0"
"219","1"
"220","2"
"221","0"
"222","2"
"223","1"
"224","0"
"225","0"
"226","2"
"227","0"
"228","1"
"229","1"
"230","0"
"231","1"
"232","1"
"233","1"
"234","0"
"235","0"
"236","1"
"237","1"
"238","0"
"239","1"
"240","1"
"241","0"
"242","0"
"243","0"
"244","0"
"245","1"
"246","1"
"247","0"
"248","1"
"249","0"
"250","1"
"251","2"
"252","1"
"253","2"
"254","0"
"255","1"
"256","1"
"257","0"
"258","1"
"259","0"
"260","0"
"261","2"
"262","0"
"263","0"
"264","1"
"265","1"
"266","1"
"267","2"
"268","1"
"269","0"
"270","1"
"271","2"
"272","1"
"273","2"
"274","1"
"275","0"
"276","0"
"277","0"
"278","1"
"279","0"
"280","1"
"281","1"
"282","0"
"283","2"
"284","2"
"285","1"
"286","1"
"287","0"
"288","1"
"289","2"
"290","0"
"291","1"
"292","0"
"293","1"
"294","0"
"295","0"
"296","1"
"297","1"
"298","0"
"299","2"
"300","0"
"301","0"
"302","1"
"303","1"
"304","0"
"305","0"
"306","0"
"307","0"
"308","0"
"309","0"
"310","1"
"311","1"
"312","0"
"313","2"
"314","1"
"315","2"
"316","1"
"317","1"
"318","1"
"319","1"
"320","1"
"321","0"
"322","1"
"323","1"
"324","2"
"325","1"
"326","0"
"327","0"
"328","2"
"329","2"
"330","1"
"331","0"
"332","1"
"333","1"
"334","1"
"335","1"
"336","0"
"337","0"
"338","1"
"339","1"
"340","2"
"341","1"
"342","1"
"343","1"
"344","1"
"345","2"
"346","2"
"347","0"
"348","0"
"349","1"
"350","1"
"351","1"
"352","0"
"353","1"
"354","1"
"355","0"
"356","1"
"357","0"
"358","0"
"359","1"
"360","0"
"361","1"
"362","1"
"363","1"
"364","1"
"365","2"
"366","1"
"367","1"
"368","0"
"369","0"
"370","0"
"371","1"
"372","0"
"373","1"
"374","1"
"375","1"
"376","0"
"377","0"
"378","1"
"379","1"
"380","0"
"381","0"
"382","2"
"383","2"
"384","1"
"385","1"
"386","0"
"387","0"
"388","0"
"389","2"
"390","0"
"391","1"
"392","1"
"393","0"
"394","0"
"395","2"
"396","1"
"397","1"
"398","1"
"399","0"
"400","0"
"401","0"
"402","1"
"403","0"
"404","0"
"405","1"
"406","0"
"407","1"
"408","2"
"409","0"
"410","1"
"411","0"
"412","0"
"413","0"
"414","0"
"415","0"
"416","0"
"417","2"
"418","0"
"419","1"
"420","1"
"421","1"
"422","2"
"423","0"
"424","2"
"425","1"
"426","1"
"427","0"
"428","0"
"429","1"
"430","0"
"431","0"
"432","0"
"433","2"
"434","1"
"435","1"
"436","1"
"437","1"
"438","1"
"439","0"
"440","0"
"441","0"
"442","0"
"443","1"
"444","0"
"445","0"
"446","0"
"447","0"
"448","1"
"449","0"
"450","0"
"451","1"
"452","1"
"453","1"
"454","1"
"455","0"
"456","1"
"457","1"
"458","1"
"459","2"
"460","0"
"461","0"
"462","0"
"463","0"
"464","1"
"465","0"
"466","0"
"467","0"
"468","0"
"469","1"
"470","0"
"471","1"
"472","2"
"473","0"
"474","0"
"475","0"
"476","0"
"477","0"
"478","2"
"479","1"
"480","0"
"481","1"
"482","1"
"483","1"
"484","2"
"485","0"
"486","2"
"487","1"
"488","0"
"489","0"
"490","1"
"491","0"
"492","0"
"493","1"
"494","2"
"495","1"
"496","0"
"497","0"
"498","0"
"499","2"
"500","0"
"501","1"
"502","0"
"503","0"
"504","0"
"505","1"
"506","1"
"507","2"
"508","2"
"509","1"
"510","0"
"511","1"
"512","1"
"513","0"
"514","0"
"515","2"
"516","1"
"517","2"
"518","1"
"519","0"
"520","0"
"521","0"
"522","0"
"523","1"
"524","0"
"525","0"
"526","0"
"527","0"
"528","1"
"529","1"
"530","0"
"531","0"
"532","2"
"533","1"
"534","1"
"535","2"
"536","1"
"537","1"
"538","0"
"539","1"
"540","1"
"541","1"
"542","0"
"543","0"
"544","2"
"545","1"
"546","0"
"547","2"
"548","1"
"549","1"
"550","1"
"551","0"
"552","1"
"553","0"
"554","1"
"555","2"
"556","0"
"557","1"
"558","0"
"559","1"
"560","1"
"561","0"
"562","1"
"563","0"
"564","0"
"565","0"
"566","2"
"567","1"
"568","1"
"569","0"
"570","2"
"571","0"
"572","1"
"573","1"
"574","0"
"575","0"
"576","0"
"577","1"
"578","0"
"579","1"
"580","2"
"581","0"
"582","1"
"583","0"
"584","1"
"585","0"
"586","0"
"587","1"
"588","0"
"589","2"
"590","1"
"591","0"
"592","2"
"593","2"
"594","2"
"595","2"
"596","0"
"597","0"
"598","1"
"599","2"
"600","0"
"601","1"
"602","1"
"603","1"
"604","1"
"605","1"
"606","1"
"607","2"
"608","0"
"609","1"
"610","2"
"611","1"
"612","1"
"613","2"
"614","1"
"615","0"
"616","1"
"617","1"
"618","1"
"619","0"
"620","2"
"621","1"
"622","1"
"623","1"
"624","1"
"625","2"
"626","1"
"627","1"
"628","0"
"629","0"
"630","0"
"631","0"
"632","0"
"633","0"
"634","1"
"635","1"
"636","0"
"637","0"
"638","0"
"639","0"
"640","0"
"641","2"
"642","1"
"643","1"
"644","1"
"645","0"
"646","2"
"647","1"
"648","0"
"649","0"
"650","0"
"651","1"
"652","0"
"653","0"
"654","0"
"655","1"
"656","0"
"657","0"
"658","1"
"659","2"
"660","1"
"661","1"
"662","0"
"663","0"
"664","1"
"665","1"
"666","1"
"667","1"
"668","1"
"669","1"
"670","1"
"671","0"
"672","0"
"673","1"
"674","0"
"675","0"
"676","0"
"677","1"
"678","0"
"679","0"
"680","1"
"681","0"
"682","0"
"683","1"
"684","0"
"685","0"
"686","1"
"687","2"
"688","0"
"689","1"
"690","1"
"691","0"
"692","0"
"693","0"
"694","1"
"695","0"
"696","0"
"697","0"
"698","0"
"699","1"
"700","0"
"701","2"
"702","2"
"703","2"
"704","0"
"705","0"
"706","0"
"707","1"
"708","1"
"709","0"
"710","1"
"711","2"
"712","0"
"713","2"
"714","0"
"715","0"
"716","0"
"717","2"
"718","1"
"719","2"
"720","1"
"721","0"
"722","1"
"723","0"
"724","1"
"725","2"
"726","0"
"727","0"
"728","0"
"729","1"
"730","1"
"731","1"
"732","1"
"733","0"
"734","2"
"735","0"
"736","1"
"737","1"
"738","1"
"739","1"
"740","1"
"741","0"
"742","1"
"743","0"
"744","1"
"745","0"
"746","1"
"747","1"
"748","1"
"749","2"
"750","0"
"751","1"
"752","1"
"753","0"
"754","2"
"755","1"
"756","1"
"757","1"
"758","0"
"759","1"
"760","1"
"761","0"
"762","0"
"763","0"
"764","1"
"765","0"
"766","1"
"767","1"
"768","0"
"769","1"
"770","0"
"771","1"
"772","2"
"773","2"
"774","0"
"775","2"
"776","0"
"777","1"
"778","1"
"779","2"
"780","1"
"781","0"
"782","0"
"783","1"
"784","1"
"785","1"
"786","1"
"787","0"
"788","0"
"789","0"
"790","1"
"791","1"
"792","0"
"793","2"
"794","2"
"795","1"
"796","2"
"797","1"
"798","0"
"799","1"
"800","0"
"801","1"
"802","1"
"803","1"
"804","1"
"805","1"
"806","1"
"807","1"
"808","1"
"809","1"
"810","0"
"811","0"
"812","2"
"813","0"
"814","2"
"815","0"
"816","1"
"817","1"
"818","2"
"819","0"
"820","1"
"821","1"
"822","2"
"823","0"
"824","1"
"825","0"
"826","2"
"827","1"
"828","0"
"829","1"
"830","2"
"831","1"
"832","2"
"833","0"
"834","2"
"835","0"
"836","0"
"837","1"
"838","1"
"839","0"
"840","0"
"841","1"
"842","1"
"843","0"
"844","1"
"845","1"
"846","1"
"847","0"
"848","1"
"849","0"
"850","1"
"851","1"
"852","1"
"853","1"
"854","0"
"855","0"
"856","2"
"857","1"
"858","1"
"859","1"
"860","0"
"861","1"
"862","1"
"863","0"
"864","0"
"865","0"
"866","1"
"867","2"
"868","1"
"869","1"
"870","2"
"871","0"
"872","1"
"873","0"
"874","0"
"875","1"
"876","0"
"877","0"
"878","1"
"879","0"
"880","1"
"881","0"
"882","2"
"883","1"
"884","0"
"885","1"
"886","0"
"887","1"
"888","0"
"889","1"
"890","1"
"891","1"
"892","1"
"893","0"
"894","1"
"895","1"
"896","1"
"897","0"
"898","1"
"899","1"
"900","1"
"901","2"
"902","1"
"903","1"
"904","1"
"905","2"
"906","0"
"907","0"
"908","0"
"909","1"
"910","1"
"911","2"
"912","0"
"913","0"
"914","0"
"915","1"
"916","1"
"917","1"
"918","0"
"919","1"
"920","1"
"921","0"
"922","0"
"923","1"
"924","0"
"925","0"
"926","1"
"927","1"
"928","2"
"929","0"
"930","1"
"931","1"
"932","1"
"933","1"
"934","2"
"935","1"
"936","0"
"937","0"
"938","1"
"939","0"
"940","2"
"941","0"
"942","0"
"943","2"
"944","1"
"945","0"
"946","0"
"947","0"
"948","0"
"949","1"
"950","1"
"951","0"
"952","1"
"953","1"
"954","0"
"955","2"
"956","0"
"957","1"
"958","1"
"959","1"
"960","1"
"961","1"
"962","1"
"963","1"
"964","1"
"965","1"
"966","0"
"967","2"
"968","1"
"969","1"
"970","0"
"971","0"
"972","2"
"973","0"
"974","0"
"975","1"
"976","1"
"977","2"
"978","1"
"979","0"
"980","1"
"981","1"
"982","0"
"983","1"
"984","0"
"985","1"
"986","1"
"987","0"
"988","2"
"989","0"
"990","1"
"991","0"
"992","2"
"993","1"
"994","1"
"995","1"
"996","2"
"997","0"
"998","2"
"999","1"
"1000","1"
"1001","0"
"1002","1"
"1003","2"
"1004","1"
"1005","1"
"1006","0"
"1007","1"
"1008","1"
"1009","0"
"1010","1"
"1011","0"
"1012","0"
"1013","1"
"1014","1"
"1015","2"
"1016","1"
"1017","0"
"1018","1"
"1019","0"
"1020","1"
"1021","1"
"1022","2"
"1023","2"
"1024","0"
"1025","0"
"1026","1"
"1027","0"
"1028","0"
"1029","0"
"1030","0"
"1031","1"
"1032","0"
"1033","1"
"1034","1"
"1035","0"
"1036","1"
"1037","0"
"1038","1"
"1039","1"
"1040","1"
"1041","0"
"1042","2"
"1043","1"
"1044","0"
"1045","1"
"1046","1"
"1047","1"
"1048","1"
"1049","0"
"1050","0"
"1051","2"
"1052","0"
"1053","2"
"1054","0"
"1055","2"
"1056","0"
"1057","2"
"1058","0"
"1059","0"
"1060","0"
"1061","0"
"1062","2"
"1063","0"
"1064","1"
"1065","0"
"1066","1"
"1067","2"
"1068","1"
"1069","1"
"1070","0"
"1071","0"
"1072","1"
"1073","0"
"1074","1"
"1075","0"
"1076","2"
"1077","0"
"1078","1"
"1079","0"
"1080","2"
"1081","0"
"1082","0"
"1083","1"
"1084","0"
"1085","0"
"1086","1"
"1087","1"
"1088","0"
"1089","1"
"1090","0"
"1091","1"
"1092","1"
"1093","1"
"1094","1"
"1095","1"
"1096","2"
"1097","1"
"1098","0"
"1099","1"
"1100","1"
"1101","1"
"1102","0"
"1103","1"
"1104","2"
"1105","2"
"1106","1"
"1107","0"
"1108","1"
"1109","0"
"1110","1"
"1111","0"
"1112","0"
"1113","0"
"1114","0"
"1115","2"
"1116","2"
"1117","1"
"1118","1"
"1119","1"
"1120","1"
"1121","1"
"1122","0"
"1123","1"
"1124","0"
"1125","1"
"1126","0"
"1127","0"
"1128","2"
"1129","2"
"1130","1"
"1131","2"
"1132","2"
"1133","1"
"1134","2"
"1135","1"
"1136","0"
"1137","0"
"1138","1"
"1139","0"
"1140","1"
"1141","1"
"1142","0"
"1143","1"
"1144","0"
"1145","1"
"1146","1"
"1147","0"
"1148","1"
"1149","1"
"1150","2"
"1151","2"
"1152","0"
"1153","1"
"1154","0"
"1155","0"
"1156","1"
"1157","0"
"1158","0"
"1159","0"
"1160","2"
"1161","2"
"1162","2"
"1163","0"
"1164","2"
"1165","0"
"1166","0"
"1167","0"
"1168","1"
"1169","0"
"1170","1"
"1171","0"
"1172","0"
"1173","1"
"1174","2"
"1175","1"
"1176","2"
"1177","0"
"1178","1"
"1179","0"
"1180","2"
"1181","0"
"1182","0"
"1183","1"
"1184","2"
"1185","1"
"1186","1"
"1187","1"
"1188","1"
"1189","2"
"1190","2"
"1191","0"
"1192","1"
"1193","2"
"1194","1"
"1195","2"
"1196","0"
"1197","1"
"1198","1"
"1199","1"
"1200","2"
"1201","1"
"1202","1"
"1203","1"
"1204","1"
"1205","1"
"1206","0"
"1207","1"
"1208","1"
"1209","0"
"1210","0"
"1211","2"
"1212","0"
"1213","1"
"1214","0"
"1215","0"
"1216","0"
"1217","0"
"1218","1"
"1219","2"
"1220","0"
"1221","0"
"1222","2"
"1223","1"
"1224","2"
"1225","0"
"1226","2"
"1227","1"
"1228","0"
"1229","1"
"1230","1"
"1231","0"
"1232","0"
"1233","2"
"1234","1"
"1235","2"
"1236","2"
"1237","1"
"1238","2"
"1239","1"
"1240","1"
"1241","0"
"1242","2"
"1243","1"
"1244","0"
"1245","1"
"1246","1"
"1247","1"
"1248","0"
"1249","1"
"1250","1"
"1251","1"
"1252","0"
"1253","0"
"1254","0"
"1255","1"
"1256","2"
"1257","2"
"1258","1"
"1259","2"
"1260","0"
"1261","0"
"1262","1"
"1263","0"
"1264","1"
"1265","0"
"1266","0"
"1267","1"
"1268","1"
"1269","0"
"1270","1"
"1271","0"
"1272","1"
"1273","1"
"1274","0"
"1275","1"
"1276","1"
"1277","0"
"1278","1"
"1279","1"
"1280","0"
"1281","2"
"1282","0"
"1283","2"
"1284","1"
"1285","0"
"1286","0"
"1287","0"
"1288","1"
"1289","0"
"1290","0"
"1291","1"
"1292","1"
"1293","1"
"1294","2"
"1295","0"
"1296","0"
"1297","2"
"1298","1"
"1299","1"
"1300","0"
"1301","1"
"1302","0"
"1303","1"
"1304","0"
"1305","0"
"1306","0"
"1307","1"
"1308","1"
"1309","1"
"1310","2"
"1311","1"
"1312","2"
"1313","0"
"1314","0"
"1315","1"
"1316","2"
"1317","0"
"1318","1"
"1319","2"
"1320","1"
"1321","0"
"1322","0"
"1323","0"
"1324","1"
"1325","0"
"1326","2"
"1327","0"
"1328","0"
"1329","0"
"1330","1"
"1331","1"
"1332","1"
"1333","1"
"1334","0"
"1335","1"
"1336","1"
"1337","0"
"1338","1"
"1339","1"
"1340","1"
"1341","0"
"1342","1"
"1343","0"
"1344","1"
"1345","1"
"1346","1"
"1347","1"
"1348","1"
"1349","2"
"1350","0"
"1351","0"
"1352","1"
"1353","2"
"1354","0"
"1355","1"
"1356","0"
"1357","2"
"1358","1"
"1359","0"
"1360","0"
"1361","0"
"1362","1"
"1363","0"
"1364","1"
"1365","2"
"1366","1"
"1367","1"
"1368","0"
"1369","1"
"1370","0"
"1371","2"
"1372","1"
"1373","0"
"1374","0"
"1375","1"
"1376","0"
"1377","0"
"1378","1"
"1379","0"
"1380","0"
"1381","0"
"1382","2"
"1383","0"
"1384","0"
"1385","0"
"1386","1"
"1387","1"
"1388","1"
"1389","1"
"1390","2"
"1391","0"
"1392","1"
"1393","0"
"1394","0"
"1395","0"
"1396","0"
"1397","0"
"1398","1"
"1399","0"
"1400","0"
"1401","0"
"1402","0"
"1403","0"
"1404","1"
"1405","1"
"1406","1"
"1407","0"
"1408","1"
"1409","1"
"1410","1"
"1411","2"
"1412","0"
"1413","2"
"1414","0"
"1415","0"
"1416","0"
"1417","2"
"1418","0"
"1419","1"
"1420","0"
"1421","1"
"1422","0"
"1423","1"
"1424","2"
"1425","0"
"1426","1"
"1427","2"
"1428","1"
"1429","2"
"1430","1"
"1431","2"
"1432","0"
"1433","1"
"1434","1"
"1435","1"
"1436","1"
"1437","1"
"1438","1"
"1439","1"
"1440","0"
"1441","0"
"1442","1"
"1443","1"
"1444","0"
"1445","1"
"1446","1"
"1447","1"
"1448","0"
"1449","2"
"1450","0"
"1451","0"
"1452","0"
"1453","0"
"1454","1"
"1455","1"
"1456","1"
"1457","1"
"1458","0"
"1459","1"
"1460","1"
"1461","0"
"1462","2"
"1463","1"
"1464","0"
"1465","1"
"1466","0"
"1467","1"
"1468","1"
"1469","1"
"1470","0"
"1471","1"
"1472","1"
"1473","1"
"1474","2"
"1475","0"
"1476","0"
"1477","0"
"1478","1"
"1479","0"
"1480","0"
"1481","1"
"1482","2"
"1483","0"
"1484","1"
"1485","1"
"1486","0"
"1487","0"
"1488","1"
"1489","1"
"1490","1"
"1491","1"
"1492","1"
"1493","0"
"1494","1"
"1495","2"
"1496","0"
"1497","1"
"1498","0"
"1499","2"
"1500","2"
"1501","1"
"1502","1"
"1503","2"
"1504","1"
"1505","0"
"1506","1"
"1507","0"
"1508","1"
"1509","0"
"1510","1"
"1511","1"
"1512","2"
"1513","1"
"1514","1"
"1515","0"
"1516","1"
"1517","1"
"1518","0"
"1519","1"
"1520","1"
"1521","0"
"1522","0"
"1523","2"
"1524","1"
"1525","0"
"1526","2"
"1527","1"
"1528","1"
"1529","0"
"1530","0"
"1531","2"
"1532","1"
"1533","0"
"1534","1"
"1535","0"
"1536","2"
"1537","1"
"1538","1"
"1539","0"
"1540","0"
"1541","1"
"1542","0"
"1543","0"
"1544","1"
"1545","0"
"1546","0"
"1547","0"
"1548","1"
"1549","1"
"1550","1"
"1551","1"
"1552","2"
"1553","1"
"1554","1"
"1555","1"
"1556","2"
"1557","1"
"1558","2"
"1559","0"
"1560","0"
"1561","0"
"1562","1"
"1563","1"
"1564","0"
"1565","0"
"1566","0"
"1567","2"
"1568","0"
"1569","1"
"1570","1"
"1571","1"
"1572","1"
"1573","2"
"1574","1"
"1575","1"
"1576","1"
"1577","2"
"1578","0"
"1579","0"
"1580","1"
"1581","1"
"1582","1"
"1583","0"
"1584","2"
"1585","1"
"1586","0"
"1587","1"
"1588","1"
"1589","0"
"1590","1"
"1591","0"
"1592","1"
"1593","1"
"1594","1"
"1595","0"
"1596","1"
"1597","1"
"1598","1"
"1599","1"
"1600","1"
"1601","0"
"1602","1"
"1603","0"
"1604","0"
"1605","0"
"1606","0"
"1607","0"
"1608","0"
"1609","0"
"1610","0"
"1611","1"
"1612","0"
"1613","0"
"1614","0"
"1615","1"
"1616","1"
"1617","1"
"1618","0"
"1619","1"
"1620","1"
"1621","2"
"1622","1"
"1623","0"
"1624","1"
"1625","0"
"1626","1"
"1627","1"
"1628","1"
"1629","0"
"1630","2"
"1631","1"
"1632","1"
"1633","0"
"1634","0"
"1635","1"
"1636","0"
"1637","0"
"1638","0"
"1639","1"
"1640","0"
"1641","1"
"1642","0"
"1643","2"
"1644","2"
"1645","0"
"1646","2"
"1647","1"
"1648","1"
"1649","1"
"1650","0"
"1651","1"
"1652","1"
"1653","1"
"1654","0"
"1655","2"
"1656","2"
"1657","0"
"1658","0"
"1659","0"
"1660","1"
"1661","1"
"1662","2"
"1663","1"
"1664","1"
"1665","1"
"1666","1"
"1667","1"
"1668","1"
"1669","0"
"1670","1"
"1671","0"
"1672","1"
"1673","0"
"1674","1"
"1675","1"
"1676","2"
"1677","2"
"1678","1"
"1679","2"
"1680","0"
"1681","0"
"1682","0"
"1683","1"
"1684","1"
"1685","1"
"1686","1"
"1687","0"
"1688","1"
"1689","0"
"1690","1"
"1691","1"
"1692","0"
"1693","2"
"1694","1"
"1695","1"
"1696","1"
"1697","1"
"1698","0"
"1699","0"
"1700","2"
"1701","1"
"1702","2"
"1703","1"
"1704","0"
"1705","0"
"1706","0"
"1707","1"
"1708","0"
"1709","1"
"1710","1"
"1711","0"
"1712","1"
"1713","1"
"1714","0"
"1715","1"
"1716","1"
"1717","0"
"1718","0"
"1719","0"
"1720","2"
"1721","2"
"1722","0"
"1723","1"
"1724","2"
"1725","1"
"1726","1"
"1727","1"
"1728","2"
"1729","0"
"1730","1"
"1731","2"
"1732","2"
"1733","0"
"1734","1"
"1735","1"
"1736","0"
"1737","1"
"1738","0"
"1739","1"
"1740","2"
"1741","1"
"1742","1"
"1743","2"
"1744","1"
"1745","1"
"1746","0"
"1747","0"
"1748","0"
"1749","2"
"1750","0"
"1751","0"
"1752","1"
"1753","0"
"1754","1"
"1755","1"
"1756","2"
"1757","1"
"1758","0"
"1759","1"
"1760","0"
"1761","2"
"1762","1"
"1763","0"
"1764","2"
"1765","1"
"1766","1"
"1767","0"
"1768","2"
"1769","0"
"1770","1"
"1771","1"
"1772","1"
"1773","1"
"1774","1"
"1775","0"
"1776","0"
"1777","1"
"1778","1"
"1779","1"
"1780","1"
"1781","1"
"1782","1"
"1783","2"
"1784","1"
"1785","1"
"1786","0"
"1787","1"
"1788","1"
"1789","0"
"1790","1"
"1791","1"
"1792","0"
"1793","0"
"1794","2"
"1795","0"
"1796","2"
"1797","1"
"1798","0"
"1799","0"
"1800","2"
"1801","1"
"1802","1"
"1803","0"
"1804","1"
"1805","1"
"1806","1"
"1807","0"
"1808","0"
"1809","0"
"1810","0"
"1811","2"
"1812","0"
"1813","1"
"1814","1"
"1815","1"
"1816","0"
"1817","0"
"1818","0"
"1819","0"
"1820","0"
"1821","0"
"1822","2"
"1823","0"
"1824","1"
"1825","0"
"1826","1"
"1827","0"
"1828","0"
"1829","0"
"1830","1"
"1831","1"
"1832","0"
"1833","0"
"1834","0"
"1835","1"
"1836","1"
"1837","0"
"1838","0"
"1839","0"
"1840","0"
"1841","1"
"1842","1"
"1843","0"
"1844","1"
"1845","0"
"1846","1"
"1847","1"
"1848","2"
"1849","1"
"1850","1"
"1851","0"
"1852","0"
"1853","1"
"1854","1"
"1855","2"
"1856","1"
"1857","1"
"1858","0"
"1859","1"
"1860","1"
"1861","2"
"1862","0"
"1863","0"
"1864","0"
"1865","0"
"1866","1"
"1867","0"
"1868","1"
"1869","0"
"1870","0"
"1871","2"
"1872","1"
"1873","0"
"1874","1"
"1875","1"
"1876","0"
"1877","2"
"1878","0"
"1879","2"
"1880","1"
"1881","2"
"1882","1"
"1883","1"
"1884","0"
"1885","2"
"1886","0"
"1887","1"
"1888","0"
"1889","1"
"1890","0"
"1891","1"
"1892","0"
"1893","1"
"1894","0"
"1895","1"
"1896","2"
"1897","2"
"1898","2"
"1899","0"
"1900","1"
"1901","0"
"1902","1"
"1903","0"
"1904","0"
"1905","0"
"1906","1"
"1907","0"
"1908","0"
"1909","1"
"1910","1"
"1911","1"
"1912","0"
"1913","0"
"1914","0"
"1915","0"
"1916","1"
"1917","0"
"1918","1"
"1919","1"
"1920","2"
"1921","1"
"1922","1"
"1923","1"
"1924","0"
"1925","0"
"1926","0"
"1927","2"
"1928","1"
"1929","0"
"1930","0"
"1931","1"
"1932","0"
"1933","1"
"1934","0"
"1935","1"
"1936","1"
"1937","1"
"1938","2"
"1939","0"
"1940","1"
"1941","0"
"1942","1"
"1943","2"
"1944","1"
"1945","0"
"1946","1"
"1947","1"
"1948","0"
"1949","0"
"1950","0"
"1951","1"
"1952","1"
"1953","1"
"1954","1"
"1955","1"
"1956","2"
"1957","0"
"1958","0"
"1959","0"
"1960","0"
"1961","0"
"1962","1"
"1963","1"
"1964","1"
"1965","2"
"1966","0"
"1967","1"
"1968","1"
"1969","0"
"1970","1"
"1971","2"
"1972","0"
"1973","0"
"1974","0"
"1975","1"
"1976","1"
"1977","0"
"1978","2"
"1979","0"
"1980","0"
"1981","0"
"1982","0"
"1983","0"
"1984","0"
"1985","2"
"1986","0"
"1987","0"
"1988","0"
"1989","0"
"1990","1"
"1991","1"
"1992","2"
"1993","1"
"1994","1"
"1995","0"
"1996","1"
"1997","1"
"1998","1"
"1999","1"
"2000","2"
"2001","0"
"2002","1"
"2003","1"
"2004","1"
"2005","0"
"2006","2"
"2007","2"
"2008","1"
"2009","2"
"2010","1"
"2011","1"
"2012","2"
"2013","1"
"2014","1"
"2015","0"
"2016","1"
"2017","0"
"2018","1"
"2019","0"
"2020","0"
"2021","1"
"2022","2"
"2023","0"
"2024","1"
"2025","0"
"2026","0"
"2027","0"
"2028","0"
"2029","2"
"2030","1"
"2031","0"
"2032","1"
"2033","1"
"2034","0"
"2035","0"
"2036","1"
"2037","0"
"2038","1"
"2039","2"
"2040","1"
"2041","1"
"2042","1"
"2043","0"
"2044","1"
"2045","0"
"2046","1"
"2047","1"
"2048","1"
"2049","1"
"2050","1"
"2051","1"
"2052","0"
"2053","0"
"2054","0"
"2055","0"
"2056","1"
"2057","0"
"2058","1"
"2059","1"
"2060","0"
"2061","0"
"2062","1"
"2063","0"
"2064","0"
"2065","0"
"2066","0"
"2067","2"
"2068","1"
"2069","1"
"2070","0"
"2071","0"
"2072","0"
"2073","0"
"2074","0"
"2075","1"
"2076","2"
"2077","0"
"2078","1"
"2079","1"
"2080","0"
"2081","0"
"2082","0"
"2083","0"
"2084","0"
"2085","1"
"2086","1"
"2087","0"
"2088","1"
"2089","1"
"2090","2"
"2091","1"
"2092","0"
"2093","0"
"2094","1"
"2095","1"
"2096","1"
"2097","1"
"2098","1"
"2099","1"
"2100","0"
"2101","1"
"2102","1"
"2103","1"
"2104","0"
"2105","1"
"2106","0"
"2107","1"
"2108","0"
"2109","0"
"2110","1"
"2111","0"
"2112","0"
"2113","1"
"2114","2"
"2115","1"
"2116","0"
"2117","0"
"2118","0"
"2119","1"
"2120","0"
"2121","2"
"2122","2"
"2123","1"
"2124","0"
"2125","1"
"2126","1"
"2127","1"
"2128","2"
"2129","0"
"2130","1"
"2131","1"
"2132","1"
"2133","1"
"2134","0"
"2135","1"
"2136","0"
"2137","0"
"2138","2"
"2139","1"
"2140","1"
"2141","1"
